date_id,item_id,master_restaurant_id,time_of_order,time_of_delivery,expected_delivery_time,delivery_time_in_mins,restaurant_id,desc_id,location_id,avg_rating_id,type_id,category_id,cuisine_id,working_hrs,delivery_available,table_booking_available,price,discounts_offered_pct,discounted_price,expected_revenue,customer_id,cust_rating_id,order_status_id,cancellation_id,actual_revenue,operating_cost,gp_margin,total_number_of_reviews,number_of_complaints_received,foot_traffic_in_location,competitors_in_the_area_count,subscription_id,budgetd_rev,budgetd_operating_cost,budgeted_order,budgeted_gp,acquisition_cost,value
20240501,3,91,02:15:39,02:53:39,55,38,91,999,1,5,1,999,999,11:00AM - 11:00PM,YES,YES,521.14,0.23,519.94,519.94,464,1,999,5,519.94,418.06,101.88,86,8,low,9,2,311.12,562.43,326.0,173.08,43.56,134.02
20240501,6,70,18:56:00,19:41:00,38,45,22,940,1,2,1,6,7,11:00AM - 11:00PM,YES,YES,1140.69,17.59,940.04,940.04,3183,3,999,3,0.0,570.94,369.1,237,13,high,13,1,988.47,556.91,195.0,431.56,21.27,404.31
20240501,3,89,15:00:55,15:43:55,22,43,89,999,6,5,1,999,999,11:00AM - 11:00PM,NO,NO,894.07,13.55,772.92,772.92,463,5,999,5,772.92,399.63,373.29,241,4,low,7,3,767.69,380.07,309.0,152.62,35.04,197.39
20240501,3,89,00:12:28,00:40:28,51,28,89,999,6,4,1,999,999,11:00AM - 11:00PM,NO,YES,194.89,22.33,151.37,151.37,1468,4,998,5,151.37,77.75,73.62,150,15,medium,16,3,276.01,190.76,611.0,178.55,22.42,180.79
20240501,3,90,21:01:16,21:47:16,33,46,90,999,11,1,1,999,999,11:00AM - 11:00PM,NO,NO,515.45,23.31,395.3,395.3,1748,1,998,2,0.0,263.04,132.26,31,45,medium,20,1,588.2,382.34,526.0,234.63,7.06,269.77
20240501,3,89,21:35:43,22:14:43,46,39,89,999,6,7,1,999,999,11:00AM - 11:00PM,NO,NO,219.5,24.63,165.44,165.44,874,3,999,5,165.44,100.43,65.01,179,3,high,25,3,730.52,470.5,540.0,74.58,24.34,169.15
20240501,3,89,13:27:23,14:26:23,30,59,89,999,6,2,1,999,999,11:00AM - 11:00PM,NO,NO,396.59,25.83,294.15,294.15,116,3,998,2,0.0,174.15,120.0,206,42,high,22,2,680.96,402.56,400.0,233.92,9.59,197.74
20240501,3,91,04:43:40,05:16:40,38,33,91,999,1,4,1,999,999,11:00AM - 11:00PM,YES,NO,795.14,6.46,743.77,743.77,463,1,999,5,743.77,509.04,234.73,82,16,high,15,1,806.5,515.19,534.0,93.51,37.33,250.21
20240501,3,89,09:06:30,09:57:30,22,51,89,999,6,5,1,999,999,11:00AM - 11:00PM,YES,NO,725.45,26.27,534.87,534.87,840,2,999,5,534.87,388.21,146.66,238,42,low,25,3,520.38,173.89,582.0,63.83,39.54,200.56
20240501,6,67,19:38:00,20:22:00,35,44,70,908,1,3,1,3,7,11:00AM - 11:00PM,YES,YES,465.94,5.21,441.66,441.66,3227,5,999,5,441.66,305.77,135.89,211,12,medium,20,1,431.11,310.66,296.0,120.45,22.5,154.17
20240501,3,89,01:50:48,02:23:48,57,33,89,999,6,2,1,999,999,11:00AM - 11:00PM,YES,YES,456.6,33.79,302.31,302.31,573,4,999,3,0.0,190.83,111.48,193,22,low,9,3,530.18,434.27,547.0,246.56,31.01,139.19
20240501,6,72,13:24:00,14:16:00,52,52,93,978,14,2,1,7,3,11:00AM - 11:00PM,YES,YES,464.48,29.14,329.13,329.13,3052,3,999,2,0.0,198.48,130.65,240,14,medium,14,1,336.69,217.91,101.0,118.78,17.91,145.17
20240501,3,89,04:40:47,05:13:47,20,33,89,999,6,1,1,999,999,11:00AM - 11:00PM,YES,NO,701.36,25.71,521.04,521.04,611,1,998,1,0.0,380.48,140.56,107,42,high,15,1,441.78,415.15,586.0,203.14,16.19,248.3
20240501,6,64,15:48:00,16:51:00,59,63,47,939,16,7,1,5,5,11:00AM - 11:00PM,YES,YES,255.85,18.44,208.67,208.67,3125,2,999,5,208.67,162.69,45.98,115,15,high,6,1,225.73,175.06,198.0,50.67,12.46,90.17
20240501,6,67,00:46:00,01:19:00,31,33,30,990,1,3,1,2,5,11:00AM - 11:00PM,YES,YES,941.86,13.03,819.14,819.14,892,2,999,5,819.14,535.71,283.43,247,5,low,18,1,793.73,550.52,117.0,243.21,19.24,356.13
20240501,3,89,02:52:30,03:46:30,44,54,89,999,6,5,1,999,999,11:00AM - 11:00PM,YES,NO,696.51,17.42,575.18,575.18,681,3,999,5,575.18,404.99,170.19,95,42,low,17,2,656.57,221.09,526.0,239.05,44.51,153.85
20240501,6,70,05:09:00,05:41:00,30,32,66,949,1,5,1,3,4,11:00AM - 11:00PM,YES,YES,847.39,9.22,769.26,769.26,856,5,999,5,769.26,604.4,164.86,94,11,high,10,1,836.84,629.78,213.0,207.06,20.35,188.33
20240501,3,91,08:18:48,09:17:48,49,59,91,999,1,2,1,999,999,11:00AM - 11:00PM,YES,YES,933.5,9.3,846.68,846.68,1401,2,999,1,0.0,505.57,341.11,45,13,low,10,3,707.01,364.78,350.0,157.39,36.26,157.39
20240501,3,90,15:01:30,15:42:30,55,41,90,999,11,5,1,999,999,11:00AM - 11:00PM,YES,NO,257.27,8.5,235.4,235.4,1341,3,998,5,235.4,134.45,100.95,167,46,low,4,2,476.3,422.24,320.0,224.72,12.53,237.11
20240501,6,72,05:10:00,05:48:00,36,38,83,930,14,7,1,5,3,11:00AM - 11:00PM,YES,YES,1095.63,11.03,974.78,974.78,3064,5,999,5,974.78,647.24,327.54,235,11,low,11,1,1012.57,705.54,276.0,307.03,27.67,350.49
20240501,6,65,08:59:00,09:47:00,45,48,43,926,1,7,1,9,3,11:00AM - 11:00PM,YES,YES,1127.49,13.63,973.81,973.81,721,4,999,5,973.81,773.0,200.81,224,8,low,14,1,963.96,767.01,158.0,196.95,18.01,228.28
20240501,6,70,02:51:00,04:00:00,59,69,34,984,1,4,1,2,2,11:00AM - 11:00PM,YES,YES,411.11,13.71,354.75,354.75,995,4,999,5,354.75,280.37,74.38,137,13,low,17,1,360.11,276.18,207.0,83.93,21.46,129.75
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,55.9015,38.999803,0.0,16.901697,15.04424779,1.39
20240502,3,91,14:49:56,15:10:56,34,21,91,999,1,2,1,999,999,11:00AM - 11:00PM,YES,YES,725.77,31.31,498.53,498.53,973,3,999,2,0.0,308.89,189.64,172,32,low,15,2,717.86,465.15,384.0,122.06,43.25,235.09
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,39.899088,0.0,14.544112,15.78947368,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,38.49912,0.0,15.94408,14.54545455,1.39
20240502,6,65,10:54:00,11:26:00,33,32,86,954,1,3,1,7,9,11:00AM - 11:00PM,YES,YES,560.44,12.18,492.18,492.18,675,2,999,5,492.18,381.52,110.66,26,6,high,6,1,490.19,394.46,300.0,95.73,26.24,191.64
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,53.9571,40.24908,0.0,13.70802,14.7826087,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,12.0,118,99,Medium,9,2,53.9571,41.56155,0.0,12.39555,14.9122807,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,39.0,10.0,118,99,Medium,9,2,53.9571,43.16568,0.0,10.79142,17.11711712,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,34.0,15.0,118,99,Medium,9,2,54.9293,38.45051,0.0,16.47879,13.27433628,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,14.0,118,99,Medium,9,2,54.4432,39.199104,0.0,15.244096,17.85714286,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,36.0,13.0,118,99,Medium,9,2,55.9015,41.007396,0.0,14.894104,16.66666667,1.39
20240502,3,89,20:46:47,21:44:47,51,58,89,999,6,6,1,999,999,11:00AM - 11:00PM,YES,NO,609.45,18.96,493.9,493.9,464,5,999,5,493.9,294.97,198.93,38,37,high,22,2,738.32,156.39,444.0,169.44,37.02,137.36
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,38.0,10.0,118,99,Medium,9,2,54.4432,43.778166,0.0,10.665034,13.15789474,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,35.0,13.0,118,99,Medium,9,2,53.471,39.388683,0.0,14.082317,14.41441441,1.39
20240502,6,69,06:04:00,06:56:00,51,52,79,923,4,6,1,5,8,11:00AM - 11:00PM,YES,YES,431.32,25.28,322.28,322.28,942,2,999,5,322.28,221.14,101.14,52,12,medium,22,1,339.28,225.91,131.0,113.37,12.68,170.34
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,12.0,118,99,Medium,9,2,55.9015,41.746268,0.0,14.155232,14.15929204,1.39
20240502,18,10,23:15:24,23:54:24,56,39,5,5,5,3,2,1,11,7:30AM - 10:00PM,Yes,No,50.0,2.78,49.0,49.0,5,4,2,5,49.0,37.0,11.0,118,99,Medium,9,2,54.4432,42.295561,0.0,12.147639,15.92920354,1.39
